Symbol,Company,ISIN,Ticker
CEMPRO,Cemindia Projects Limited,INE686A01026,NSE:CEMPRO
CENTENKA,Century Enka Limited,INE485A01015,NSE:CENTENKA
CENTEXT,Century Extrusions Limited,INE281A01026,NSE:CENTEXT
CENTRALBK,Central Bank of India,INE483A01010,NSE:CENTRALBK
CENTRUM,Centrum Capital Limited,INE660C01027,NSE:CENTRUM
CENTUM,Centum Electronics Limited,INE320B01020,NSE:CENTUM
CENTURYPLY,Century Plyboards (India) Limited,INE348B01021,NSE:CENTURYPLY
CERA,Cera Sanitaryware Limited,INE739E01017,NSE:CERA
CESC,CESC Limited,INE486A01021,NSE:CESC
CEWATER,Concord Enviro Systems Limited,INE037Z01029,NSE:CEWATER
CGCL,Capri Global Capital Limited,INE180C01042,NSE:CGCL
CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,NSE:CGPOWER
CHALET,Chalet Hotels Limited,INE427F01016,NSE:CHALET
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,INE085A01013,NSE:CHAMBLFERT
CHEMBOND,Chembond Material Technologies Limited,INE995D01025,NSE:CHEMBOND
CHEMBONDCH,Chembond Chemicals Limited,INE0TGX01019,NSE:CHEMBONDCH
CHEMCON,Chemcon Speciality Chemicals Limited,INE03YM01018,NSE:CHEMCON
CHEMFAB,Chemfab Alkalis Limited,INE783X01023,NSE:CHEMFAB
CHEMPLASTS,Chemplast Sanmar Limited,INE488A01050,NSE:CHEMPLASTS
CHENNPETRO,Chennai Petroleum Corporation Limited,INE178A01016,NSE:CHENNPETRO
CHEVIOT,Cheviot Company Limited,INE974B01016,NSE:CHEVIOT
CHOICEIN,Choice International Limited,INE102B01014,NSE:CHOICEIN
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01024,NSE:CHOLAFIN
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,INE149A01033,NSE:CHOLAHLDNG
CIEINDIA,CIE Automotive India Limited,INE536H01010,NSE:CIEINDIA
CIFL,Capital India Finance Limited,INE345H01024,NSE:CIFL
CIGNITITEC,Cigniti Technologies Limited,INE675C01017,NSE:CIGNITITEC
CINELINE,Cineline India Limited,INE704H01022,NSE:CINELINE
CINEVISTA,Cinevista Limited,INE039B01026,NSE:CINEVISTA
CIPLA,Cipla Limited,INE059A01026,NSE:CIPLA
CLEAN,Clean Science and Technology Limited,INE227W01023,NSE:CLEAN
CLEANMAX,Clean Max Enviro Energy Solutions Limited,INE647U01026,NSE:CLEANMAX
CLEDUCATE,CL Educate Limited,INE201M01029,NSE:CLEDUCATE
CLSEL,Chaman Lal Setia Exports Limited,INE419D01026,NSE:CLSEL
CMSINFO,CMS Info Systems Limited,INE925R01014,NSE:CMSINFO
CNL,Creative Newtech Limited,INE985W01018,NSE:CNL
COALINDIA,Coal India Limited,INE522F01014,NSE:COALINDIA
COCHINSHIP,Cochin Shipyard Limited,INE704P01025,NSE:COCHINSHIP
COFFEEDAY,Coffee Day Enterprises Limited,INE335K01011,NSE:COFFEEDAY
COFORGE,Coforge Limited,INE591G01025,NSE:COFORGE
COHANCE,Cohance Lifesciences Limited,INE03QK01018,NSE:COHANCE
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,NSE:COLPAL
COMPUSOFT,Compucom Software Limited,INE453B01029,NSE:COMPUSOFT
COMSYN,Commercial Syn Bags Limited,INE073V01015,NSE:COMSYN
CONCOR,Container Corporation of India Limited,INE111A01025,NSE:CONCOR
CONCORDBIO,Concord Biotech Limited,INE338H01029,NSE:CONCORDBIO
CONFIPET,Confidence Petroleum India Limited,INE552D01024,NSE:CONFIPET
CONTROLPR,Control Print Limited,INE663B01015,NSE:CONTROLPR
CORALFINAC,Coral India Finance & Housing Limited,INE558D01021,NSE:CORALFINAC
CORDSCABLE,Cords Cable Industries Limited,INE792I01017,NSE:CORDSCABLE
COROMANDEL,Coromandel International Limited,INE169A01031,NSE:COROMANDEL
CORONA,CORONA Remedies Limited,INE02ZQ01018,NSE:CORONA
COSMOFIRST,COSMO FIRST LIMITED,INE757A01017,NSE:COSMOFIRST
COUNCODOS,Country Condo's Limited,INE695B01025,NSE:COUNCODOS
CPCAP,CP Capital Limited,INE521J01018,NSE:CPCAP
CPEDU,Career Point Edutech Limited,INE0P6P01016,NSE:CPEDU
CPPLUS,Aditya Infotech Limited,INE819V01029,NSE:CPPLUS
CRAFTSMAN,Craftsman Automation Limited,INE00LO01017,NSE:CRAFTSMAN
CRAMC,Canara Robeco Asset Management Company Limited,INE218I01013,NSE:CRAMC
CREATIVEYE,Creative Eye Limited,INE230B01021,NSE:CREATIVEYE
CREDITACC,CREDITACCESS GRAMEEN LIMITED,INE741K01010,NSE:CREDITACC
CREST,Crest Ventures Limited,INE559D01011,NSE:CREST
CRISIL,CRISIL Limited,INE007A01025,NSE:CRISIL
CRIZAC,Crizac Limited,INE0S4R01014,NSE:CRIZAC
CROMPTON,Crompton Greaves Consumer Electricals Limited,INE299U01018,NSE:CROMPTON
CROWN,Crown Lifters Limited,INE491V01019,NSE:CROWN
CSBBANK,CSB Bank Limited,INE679A01013,NSE:CSBBANK
CSLFINANCE,CSL Finance Limited,INE718F01018,NSE:CSLFINANCE
CTE,Cambridge Technology Enterprises Limited,INE627H01017,NSE:CTE
CUB,City Union Bank Limited,INE491A01021,NSE:CUB
CUBEXTUB,Cubex Tubings Limited,INE144D01012,NSE:CUBEXTUB
CUMMINSIND,Cummins India Limited,INE298A01020,NSE:CUMMINSIND
CUPID,Cupid Limited,INE509F01029,NSE:CUPID
CYBERMEDIA,Cyber Media (India) Limited,INE278G01037,NSE:CYBERMEDIA
CYBERTECH,Cybertech Systems And Software Limited,INE214A01019,NSE:CYBERTECH
CYIENT,Cyient Limited,INE136B01020,NSE:CYIENT
CYIENTDLM,Cyient DLM Limited,INE055S01018,NSE:CYIENTDLM
DABUR,Dabur India Limited,INE016A01026,NSE:DABUR
DALBHARAT,Dalmia Bharat Limited,INE00R701025,NSE:DALBHARAT
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,INE495A01022,NSE:DALMIASUG
DAMCAPITAL,Dam Capital Advisors Limited,INE284H01025,NSE:DAMCAPITAL
DAMODARIND,Damodar Industries Limited,INE497D01022,NSE:DAMODARIND
DANGEE,Dangee Dums Limited,INE688Y01022,NSE:DANGEE
DATAMATICS,Datamatics Global Services Limited,INE365B01017,NSE:DATAMATICS
DATAPATTNS,Data Patterns (India) Limited,INE0IX101010,NSE:DATAPATTNS
DAVANGERE,Davangere Sugar Company Limited,INE179G01029,NSE:DAVANGERE
DBCORP,D.B.Corp Limited,INE950I01011,NSE:DBCORP
DBEIL,Deepak Builders & Engineers India Limited,INE0OPA01019,NSE:DBEIL
DBL,Dilip Buildcon Limited,INE917M01012,NSE:DBL
DBOL,Dhampur Bio Organics Limited,INE0I3401014,NSE:DBOL
DBREALTY,Valor Estate Limited,INE879I01012,NSE:DBREALTY
DBSTOCKBRO,DB (International) Stock Brokers Limited,INE921B01025,NSE:DBSTOCKBRO
DCAL,Dishman Carbogen Amcis Limited,INE385W01011,NSE:DCAL
DCBBANK,DCB Bank Limited,INE503A01015,NSE:DCBBANK
DCI,Dc Infotech And Communication Limited,INE0A1101019,NSE:DCI
DCM,DCM  Limited,INE498A01018,NSE:DCM
DCMFINSERV,DCM Financial Services Limited,INE891B01012,NSE:DCMFINSERV
DCMNVL,DCM Nouvelle Limited,INE08KP01019,NSE:DCMNVL
DCMSHRIRAM,DCM Shriram Limited,INE499A01024,NSE:DCMSHRIRAM
DCMSIL,DCM Shriram International Limited,INE0OU201013,NSE:DCMSIL
DCMSRIND,DCM Shriram Industries Limited,INE843D01027,NSE:DCMSRIND
DCW,DCW Limited,INE500A01029,NSE:DCW
DCXINDIA,DCX Systems Limited,INE0KL801015,NSE:DCXINDIA
DDEVPLSTIK,Ddev Plastiks Industries Limited,INE0HR601026,NSE:DDEVPLSTIK
DECCANCE,Deccan Cements Limited,INE583C01021,NSE:DECCANCE
DEEDEV,DEE Development Engineers Limited,INE841L01016,NSE:DEEDEV
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,NSE:DEEPAKFERT
DEEPAKNTR,Deepak Nitrite Limited,INE288B01029,NSE:DEEPAKNTR
DEEPINDS,Deep Industries Limited,INE0FHS01024,NSE:DEEPINDS
DELHIVERY,Delhivery Limited,INE148O01028,NSE:DELHIVERY
DELPHIFX,DELPHI WORLD MONEY LIMITED,INE726L01027,NSE:DELPHIFX
DELTACORP,Delta Corp Limited,INE124G01033,NSE:DELTACORP
DELTAMAGNT,Delta Manufacturing Limited,INE393A01011,NSE:DELTAMAGNT
DEN,Den Networks Limited,INE947J01015,NSE:DEN
DENORA,De Nora India Limited,INE244A01016,NSE:DENORA
DENTA,Denta Water and Infra Solutions Limited,INE0R4L01018,NSE:DENTA
DEVIT,Dev Information Technology Limited,INE060X01034,NSE:DEVIT
DEVX,Dev Accelerator Limited,INE0VOV01021,NSE:DEVX
DEVYANI,Devyani International Limited,INE872J01023,NSE:DEVYANI
DGCONTENT,Digicontent Limited,INE03JI01017,NSE:DGCONTENT
DHAMPURSUG,Dhampur Sugar Mills Limited,INE041A01016,NSE:DHAMPURSUG
DHANBANK,Dhanlaxmi Bank Limited,INE680A01011,NSE:DHANBANK
DHANUKA,Dhanuka Agritech Limited,INE435G01025,NSE:DHANUKA
DHARMAJ,Dharmaj Crop Guard Limited,INE00OQ01016,NSE:DHARMAJ
DHRUV,Dhruv Consultancy Services Limited,INE506Z01015,NSE:DHRUV
DHUNINV,Dhunseri Investments Limited,INE320L01011,NSE:DHUNINV
DIACABS,Diamond Power Infrastructure Limited,INE989C01038,NSE:DIACABS
DIAMINESQ,Diamines & Chemicals Limited,INE591D01014,NSE:DIAMINESQ
DIAMONDYD,Prataap Snacks Limited,INE393P01035,NSE:DIAMONDYD
DICIND,DIC India Limited,INE303A01010,NSE:DICIND
DIFFNKG,Diffusion Engineers Limited,INE184O01015,NSE:DIFFNKG
DIGIDRIVE,Digidrive Distributors Limited,INE0PSC01024,NSE:DIGIDRIVE
DIGISPICE,DiGiSPICE Technologies Limited,INE927C01020,NSE:DIGISPICE
DIGITIDE,Digitide Solutions Limited,INE0U4701011,NSE:DIGITIDE
DIGJAMLMTD,Digjam Limited,INE731U01028,NSE:DIGJAMLMTD
DISHTV,Dish TV India Limited,INE836F01026,NSE:DISHTV
DIVGIITTS,Divgi Torqtransfer Systems Limited,INE753U01022,NSE:DIVGIITTS
DIVISLAB,Divi's Laboratories Limited,INE361B01024,NSE:DIVISLAB
DIXON,Dixon Technologies (India) Limited,INE935N01020,NSE:DIXON
DLF,DLF Limited,INE271C01023,NSE:DLF
DLINKINDIA,D-Link (India) Limited,INE250K01012,NSE:DLINKINDIA
DMART,Avenue Supermarts Limited,INE192R01011,NSE:DMART
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,INE505A01010,NSE:DMCC
DNAMEDIA,Diligent Media Corporation Limited,INE016M01021,NSE:DNAMEDIA
DODLA,Dodla Dairy Limited,INE021O01019,NSE:DODLA
DOLATALGO,Dolat Algotech Limited,INE966A01022,NSE:DOLATALGO
DOLLAR,Dollar Industries Limited,INE325C01035,NSE:DOLLAR
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,INE920A01037,NSE:DOLPHIN
DOMS,DOMS Industries Limited,INE321T01012,NSE:DOMS
DONEAR,Donear Industries Limited,INE668D01028,NSE:DONEAR
DPABHUSHAN,D. P. Abhushan Limited,INE266Y01019,NSE:DPABHUSHAN
DPSCLTD,DPSC Limited,INE360C01024,NSE:DPSCLTD
DPWIRES,D P Wires Limited,INE864X01013,NSE:DPWIRES
DRCSYSTEMS,DRC Systems India Limited,INE03RS01027,NSE:DRCSYSTEMS
DREAMFOLKS,Dreamfolks Services Limited,INE0JS101016,NSE:DREAMFOLKS
DREDGECORP,Dredging Corporation of India Limited,INE506A01018,NSE:DREDGECORP
DRREDDY,Dr. Reddy's Laboratories Limited,INE089A01031,NSE:DRREDDY
DSFCL,DCM Shriram Fine Chemicals Limited,INE0OFM01015,NSE:DSFCL
DSSL,Dynacons Systems & Solutions Limited,INE417B01040,NSE:DSSL
DTIL,Dhunseri Tea & Industries Limited,INE341R01014,NSE:DTIL
DUCON,Ducon Infratechnologies Limited,INE741L01018,NSE:DUCON
DVL,Dhunseri Ventures Limited,INE477B01010,NSE:DVL
DWARKESH,Dwarikesh Sugar Industries Limited,INE366A01041,NSE:DWARKESH
DYCL,Dynamic Cables Limited,INE600Y01019,NSE:DYCL
DYNAMATECH,Dynamatic Technologies Limited,INE221B01012,NSE:DYNAMATECH
DYNPRO,Dynemic Products Limited,INE256H01015,NSE:DYNPRO
EASEMYTRIP,Easy Trip Planners Limited,INE07O001026,NSE:EASEMYTRIP
EBGNG,GNG Electronics Limited,INE18JU01028,NSE:EBGNG
ECLERX,eClerx Services Limited,INE738I01010,NSE:ECLERX
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,INE06HJ01020,NSE:ECOSMOBLTY
EDELWEISS,Edelweiss Financial Services Limited,INE532F01054,NSE:EDELWEISS
EFCIL,EFC (I) Limited,INE886D01026,NSE:EFCIL
EICHERMOT,Eicher Motors Limited,INE066A01021,NSE:EICHERMOT
EIDPARRY,EID Parry India Limited,INE126A01031,NSE:EIDPARRY
EIEL,Enviro Infra Engineers Limited,INE0LLY01014,NSE:EIEL
EIFFL,Euro India Fresh Foods Limited,INE546V01010,NSE:EIFFL
EIHAHOTELS,EIH Associated Hotels Limited,INE276C01014,NSE:EIHAHOTELS
EIHOTEL,EIH Limited,INE230A01023,NSE:EIHOTEL
EIMCOELECO,Eimco Elecon (India) Limited,INE158B01016,NSE:EIMCOELECO
EKC,Everest Kanto Cylinder Limited,INE184H01027,NSE:EKC
ELDEHSG,Eldeco Housing And Industries Limited,INE668G01021,NSE:ELDEHSG
ELECON,Elecon Engineering Company Limited,INE205B01031,NSE:ELECON
ELECTCAST,Electrosteel Castings Limited,INE086A01029,NSE:ELECTCAST
ELECTHERM,Electrotherm (India) Limited,INE822G01016,NSE:ELECTHERM
ELGIEQUIP,Elgi Equipments Limited,INE285A01027,NSE:ELGIEQUIP
ELGIRUBCO,Elgi Rubber Company Limited,INE819L01012,NSE:ELGIRUBCO
ELIN,Elin Electronics Limited,INE050401020,NSE:ELIN
ELLEN,Ellenbarrie Industrial Gases Limited,INE236E01022,NSE:ELLEN
EMAMILTD,Emami Limited,INE548C01032,NSE:EMAMILTD
EMAMIPAP,Emami Paper Mills Limited,INE830C01026,NSE:EMAMIPAP
EMAMIREAL,Emami Realty Limited,INE778K01012,NSE:EMAMIREAL
EMCURE,Emcure Pharmaceuticals Limited,INE168P01015,NSE:EMCURE
EMIL,Electronics Mart India Limited,INE02YR01019,NSE:EMIL
EMKAY,Emkay Global Financial Services Limited,INE296H01011,NSE:EMKAY
EMMBI,Emmbi Industries Limited,INE753K01015,NSE:EMMBI
EMMVEE,Emmvee Photovoltaic Power Limited,INE1C6T01020,NSE:EMMVEE
EMSLIMITED,EMS Limited,INE0OV601013,NSE:EMSLIMITED
EMUDHRA,eMudhra Limited,INE01QM01018,NSE:EMUDHRA
ENDURANCE,Endurance Technologies Limited,INE913H01037,NSE:ENDURANCE
ENERGYDEV,Energy Development Company Limited,INE306C01019,NSE:ENERGYDEV
ENGINERSIN,Engineers India Limited,INE510A01028,NSE:ENGINERSIN
ENIL,Entertainment Network (India) Limited,INE265F01028,NSE:ENIL
ENRIN,Siemens Energy India Limited,INE1NPP01017,NSE:ENRIN
ENTERO,Entero Healthcare Solutions Limited,INE010601016,NSE:ENTERO
EPACK,EPACK Durable Limited,INE0G5901015,NSE:EPACK
EPACKPEB,EPack Prefab Technologies Limited,INE0MLS01022,NSE:EPACKPEB
EPIGRAL,Epigral Limited,INE071N01016,NSE:EPIGRAL
EPL,EPL Limited,INE255A01020,NSE:EPL
EQUITASBNK,Equitas Small Finance Bank Limited,INE063P01018,NSE:EQUITASBNK
ERIS,Eris Lifesciences Limited,INE406M01024,NSE:ERIS
ESABINDIA,Esab India Limited,INE284A01012,NSE:ESABINDIA
ESAFSFB,ESAF Small Finance Bank Limited,INE818W01011,NSE:ESAFSFB
ESCORTS,Escorts Kubota Limited,INE042A01014,NSE:ESCORTS
ESSARSHPNG,Essar Shipping Limited,INE122M01019,NSE:ESSARSHPNG
ESSENTIA,Integra Essentia Limited,INE418N01035,NSE:ESSENTIA
ESTER,Ester Industries Limited,INE778B01029,NSE:ESTER
ETERNAL,ETERNAL LIMITED,INE758T01015,NSE:ETERNAL
ETHOSLTD,Ethos Limited,INE04TZ01018,NSE:ETHOSLTD
EUREKAFORB,Eureka Forbes Limited,INE0KCE01017,NSE:EUREKAFORB
EUROBOND,Euro Panel Products Limited,INE505V01016,NSE:EUROBOND
EUROPRATIK,Euro Pratik Sales Limited,INE198501012,NSE:EUROPRATIK
EVEREADY,Eveready Industries India Limited,INE128A01029,NSE:EVEREADY
EVERESTIND,Everest Industries Limited,INE295A01018,NSE:EVERESTIND
EXCEL,Excel Realty N Infra Limited,INE688J01023,NSE:EXCEL
EXCELINDUS,Excel Industries Limited,INE369A01029,NSE:EXCELINDUS
EXCELSOFT,Excelsoft Technologies Limited,INE606N01019,NSE:EXCELSOFT
EXICOM,Exicom Tele-Systems Limited,INE777F01014,NSE:EXICOM
EXIDEIND,Exide Industries Limited,INE302A01020,NSE:EXIDEIND
EXPLEOSOL,Expleo Solutions Limited,INE201K01015,NSE:EXPLEOSOL
EXXARO,Exxaro Tiles Limited,INE0GFE01026,NSE:EXXARO
FABTECH,Fabtech Technologies Limited,INE0HF201011,NSE:FABTECH
FACT,Fertilizers and Chemicals Travancore Limited,INE188A01015,NSE:FACT
FAIRCHEMOR,Fairchem Organics Limited,INE0DNW01011,NSE:FAIRCHEMOR
FCL,Fineotex Chemical Limited,INE045J01034,NSE:FCL
FCSSOFT,FCS Software Solutions Limited,INE512B01022,NSE:FCSSOFT
FDC,FDC Limited,INE258B01022,NSE:FDC
FEDERALBNK,The Federal Bank  Limited,INE171A01029,NSE:FEDERALBNK
FEDFINA,Fedbank Financial Services Limited,INE007N01010,NSE:FEDFINA
FIEMIND,Fiem Industries Limited,INE737H01014,NSE:FIEMIND
FILATEX,Filatex India Limited,INE816B01035,NSE:FILATEX
FILATFASH,Filatex Fashions Limited,INE185E01021,NSE:FILATFASH
FINCABLES,Finolex Cables Limited,INE235A01022,NSE:FINCABLES
FINEORG,Fine Organic Industries Limited,INE686Y01026,NSE:FINEORG
FINKURVE,Finkurve Financial Services Limited,INE734I01027,NSE:FINKURVE
FINOPB,Fino Payments Bank Limited,INE02NC01014,NSE:FINOPB
FINPIPE,Finolex Industries Limited,INE183A01024,NSE:FINPIPE
FIRSTCRY,Brainbees Solutions Limited,INE02RE01045,NSE:FIRSTCRY
FISCHER,Fischer Medical Ventures Limited,INE771F01041,NSE:FISCHER
FIVESTAR,Five-Star Business Finance Limited,INE128S01021,NSE:FIVESTAR
FLAIR,Flair Writing Industries Limited,INE00Y201027,NSE:FLAIR
FLEXITUFF,Flexituff Ventures International Limited,INE060J01017,NSE:FLEXITUFF
FLUOROCHEM,Gujarat Fluorochemicals Limited,INE09N301011,NSE:FLUOROCHEM
FMGOETZE,Federal-Mogul Goetze (India) Limited.,INE529A01010,NSE:FMGOETZE
FMNL,Future Market Networks Limited,INE360L01017,NSE:FMNL
FOCUS,Focus Lighting and Fixtures Limited,INE593W01028,NSE:FOCUS
FOODSIN,Foods & Inns Limited,INE976E01023,NSE:FOODSIN
FORCEMOT,FORCE MOTORS LTD,INE451A01017,NSE:FORCEMOT
FORTIS,Fortis Healthcare Limited,INE061F01013,NSE:FORTIS
FOSECOIND,Foseco India Limited,INE519A01011,NSE:FOSECOIND
FRACTAL,Fractal Analytics Limited,INE212S01015,NSE:FRACTAL
FSL,Firstsource Solutions Limited,INE684F01012,NSE:FSL
FUSION,Fusion Finance Limited,INE139R01012,NSE:FUSION
GABRIEL,Gabriel India Limited,INE524A01029,NSE:GABRIEL
GAEL,Gujarat Ambuja Exports Limited,INE036B01030,NSE:GAEL
GAIL,GAIL (India) Limited,INE129A01019,NSE:GAIL
GALAPREC,Gala Precision Engineering Limited,INE0RE001014,NSE:GALAPREC
GALAXYSURF,Galaxy Surfactants Limited,INE600K01018,NSE:GALAXYSURF
GALLANTT,Gallantt Ispat Limited,INE297H01019,NSE:GALLANTT
GANDHAR,Gandhar Oil Refinery (India) Limited,INE717W01049,NSE:GANDHAR
GANDHITUBE,Gandhi Special Tubes Limited,INE524B01027,NSE:GANDHITUBE
GANECOS,Ganesha Ecosphere Limited,INE845D01014,NSE:GANECOS
GANESHBE,Ganesh Benzoplast Limited,INE388A01029,NSE:GANESHBE
GANESHCP,Ganesh Consumer Products Limited,INE652V01016,NSE:GANESHCP
GANESHHOU,GANESH HOUSING LIMITED,INE460C01014,NSE:GANESHHOU
GANGAFORGE,Ganga Forging Limited,INE691Z01023,NSE:GANGAFORGE
GANGESSECU,Ganges Securities Limited,INE335W01016,NSE:GANGESSECU
GARFIBRES,Garware Technical Fibres Limited,INE276A01018,NSE:GARFIBRES
GARUDA,Garuda Construction and Engineering Limited,INE0JVO01026,NSE:GARUDA
GATECH,GACM Technologies Limited,INE224E01028,NSE:GATECH
GATECHDVR,GACM Technologies Limited,INE224E01036,NSE:GATECHDVR
GATEWAY,Gateway Distriparks Limited,INE079J01017,NSE:GATEWAY
GAYAHWS,Gayatri Highways Limited,INE287Z01012,NSE:GAYAHWS
GEECEE,GeeCee Ventures Limited,INE916G01016,NSE:GEECEE
GEEKAYWIRE,Geekay Wires Limited,INE669X01032,NSE:GEEKAYWIRE
GEMAROMA,Gem Aromatics Limited,INE06XZ01023,NSE:GEMAROMA
GENCON,Generic Engineering Construction and Projects Limited,INE854S01022,NSE:GENCON
GENESYS,Genesys International Corporation Limited,INE727B01026,NSE:GENESYS
GENUSPAPER,Genus Paper & Boards Limited,INE949P01018,NSE:GENUSPAPER
GENUSPOWER,Genus Power Infrastructures Limited,INE955D01029,NSE:GENUSPOWER
GEOJITFSL,Geojit Financial Services Limited,INE007B01023,NSE:GEOJITFSL
GESHIP,The Great Eastern Shipping Company Limited,INE017A01032,NSE:GESHIP
GFLLIMITED,GFL Limited,INE538A01037,NSE:GFLLIMITED
GHCL,GHCL Limited,INE539A01019,NSE:GHCL
GHCLTEXTIL,GHCL Textiles Limited,INE0PA801013,NSE:GHCLTEXTIL
GICHSGFIN,GIC Housing Finance Limited,INE289B01019,NSE:GICHSGFIN
GICRE,General Insurance Corporation of India,INE481Y01014,NSE:GICRE
GILLANDERS,Gillanders Arbuthnot & Company Limited,INE047B01011,NSE:GILLANDERS
GILLETTE,Gillette India Limited,INE322A01010,NSE:GILLETTE
GINNIFILA,Ginni Filaments Limited,INE424C01010,NSE:GINNIFILA
GIPCL,Gujarat Industries Power Company Limited,INE162A01010,NSE:GIPCL
GKENERGY,GK Energy Limited,INE1AG301022,NSE:GKENERGY
GKSL,Gujarat Kidney And Super Speciality Limited,INE0V0W01025,NSE:GKSL
GKWLIMITED,GKW Limited,INE528A01020,NSE:GKWLIMITED
GLAND,Gland Pharma Limited,INE068V01023,NSE:GLAND
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,NSE:GLAXO
GLENMARK,Glenmark Pharmaceuticals Limited,INE935A01035,NSE:GLENMARK
GLOBALE,Globale Tessile Limited,INE0URU01010,NSE:GLOBALE
GLOBALVECT,Global Vectra Helicorp Limited,INE792H01019,NSE:GLOBALVECT
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,INE581X01021,NSE:GLOBE
GLOBECIVIL,Globe Civil Projects Limited,INE0V3U01015,NSE:GLOBECIVIL
GLOBUSSPR,Globus Spirits Limited,INE615I01010,NSE:GLOBUSSPR
GLOSTERLTD,Gloster Limited,INE350Z01018,NSE:GLOSTERLTD
GLOTTIS,Glottis Limited,INE0TQE01026,NSE:GLOTTIS
GMBREW,GM Breweries Limited,INE075D01018,NSE:GMBREW
GMDCLTD,Gujarat Mineral Development Corporation Limited,INE131A01031,NSE:GMDCLTD
GMMPFAUDLR,GMM Pfaudler Limited,INE541A01023,NSE:GMMPFAUDLR
GMRAIRPORT,GMR AIRPORTS LIMITED,INE776C01039,NSE:GMRAIRPORT
GMRP&UI,GMR Power and Urban Infra Limited,INE0CU601026,NSE:GMRP&UI
GNA,GNA Axles Limited,INE934S01014,NSE:GNA
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,NSE:GNFC
GOACARBON,Goa Carbon Limited,INE426D01013,NSE:GOACARBON
GOCLCORP,GOCL Corporation Limited,INE077F01035,NSE:GOCLCORP
GOCOLORS,Go Fashion (India) Limited,INE0BJS01011,NSE:GOCOLORS
GODAVARIB,Godavari Biorefineries Limited,INE497S01012,NSE:GODAVARIB
GODFRYPHLP,Godfrey Phillips India Limited,INE260B01028,NSE:GODFRYPHLP
GODIGIT,Go Digit General Insurance Limited,INE03JT01014,NSE:GODIGIT
GODREJAGRO,Godrej Agrovet Limited,INE850D01014,NSE:GODREJAGRO
GODREJCP,Godrej Consumer Products Limited,INE102D01028,NSE:GODREJCP
GODREJIND,Godrej Industries Limited,INE233A01035,NSE:GODREJIND
GODREJPROP,Godrej Properties Limited,INE484J01027,NSE:GODREJPROP
GOKEX,Gokaldas Exports Limited,INE887G01027,NSE:GOKEX
GOKUL,Gokul Refoils and Solvent Limited,INE020J01029,NSE:GOKUL
GOKULAGRO,Gokul Agro Resources Limited,INE314T01033,NSE:GOKULAGRO
GOLDIAM,Goldiam International Limited,INE025B01025,NSE:GOLDIAM
GOLDTECH,AION-TECH SOLUTIONS LIMITED,INE805A01014,NSE:GOLDTECH
GOODLUCK,Goodluck India Limited,INE127I01024,NSE:GOODLUCK
GOPAL,Gopal Snacks Limited,INE0L9R01028,NSE:GOPAL
GPIL,Godawari Power And Ispat limited,INE177H01039,NSE:GPIL
GPPL,Gujarat Pipavav Port Limited,INE517F01014,NSE:GPPL
GPTHEALTH,GPT Healthcare Limited,INE486R01017,NSE:GPTHEALTH
GPTINFRA,GPT Infraprojects Limited,INE390G01014,NSE:GPTINFRA
GRANULES,Granules India Limited,INE101D01020,NSE:GRANULES
GRAPHITE,Graphite India Limited,INE371A01025,NSE:GRAPHITE
GRASIM,Grasim Industries Limited,INE047A01021,NSE:GRASIM
GRAVITA,Gravita India Limited,INE024L01027,NSE:GRAVITA
GREAVESCOT,Greaves Cotton Limited,INE224A01026,NSE:GREAVESCOT
GREENLAM,Greenlam Industries Limited,INE544R01021,NSE:GREENLAM
GREENPANEL,Greenpanel Industries Limited,INE08ZM01014,NSE:GREENPANEL
GREENPLY,Greenply Industries Limited,INE461C01038,NSE:GREENPLY
GREENPOWER,Orient Green Power Company Limited,INE999K01014,NSE:GREENPOWER
GRINDWELL,Grindwell Norton Limited,INE536A01023,NSE:GRINDWELL
GRINFRA,G R Infraprojects Limited,INE201P01022,NSE:GRINFRA
GRMOVER,GRM Overseas Limited,INE192H01020,NSE:GRMOVER
GROBTEA,The Grob Tea Company Limited,INE646C01018,NSE:GROBTEA
GROWW,Billionbrains Garage Ventures Limited,INE0HOQ01053,NSE:GROWW
GRPLTD,GRP Limited,INE137I01015,NSE:GRPLTD
GRSE,Garden Reach Shipbuilders & Engineers Limited,INE382Z01011,NSE:GRSE
GRWRHITECH,Garware Hi-Tech Films Limited,INE291A01017,NSE:GRWRHITECH
GSFC,Gujarat State Fertilizers & Chemicals Limited,INE026A01025,NSE:GSFC
GSLSU,Global Surfaces Limited,INE0JSX01015,NSE:GSLSU
GSPL,Gujarat State Petronet Limited,INE246F01010,NSE:GSPL
